tax_id/.id,ciiu_id/.id,city_id/.id
626,3,149
626,4,149
626,5,149
626,6,149
626,7,149
626,8,149
626,9,149
626,10,149
626,11,149
626,12,149
626,13,149
626,14,149
626,15,149
626,16,149
626,17,149
626,18,149
626,19,149
626,20,149
626,21,149
626,22,149
626,23,149
626,24,149
626,25,149
634,26,149
634,27,149
646,28,149
634,29,149
634,30,149
634,31,149
634,32,149
634,33,149
634,34,149
634,35,149
634,36,149
634,37,149
634,38,149
634,39,149
646,40,149
646,41,149
646,42,149
646,43,149
646,44,149
646,45,149
646,46,149
646,47,149
646,48,149
646,49,149
646,50,149
646,51,149
646,52,149
646,53,149
646,54,149
646,55,149
646,56,149
646,57,149
646,58,149
646,59,149
646,60,149
646,61,149
646,62,149
646,63,149
646,64,149
646,65,149
646,66,149
646,67,149
646,68,149
646,69,149
646,70,149
646,71,149
646,72,149
646,73,149
646,74,149
646,75,149
646,76,149
646,77,149
646,78,149
646,79,149
646,80,149
646,81,149
646,82,149
646,83,149
646,84,149
646,85,149
646,86,149
646,87,149
646,88,149
646,89,149
646,90,149
646,91,149
646,92,149
646,93,149
646,94,149
646,95,149
646,96,149
646,97,149
646,98,149
646,99,149
646,100,149
646,101,149
646,102,149
646,103,149
646,104,149
646,105,149
646,106,149
646,107,149
646,108,149
646,109,149
646,110,149
646,111,149
646,112,149
646,113,149
646,114,149
646,115,149
646,116,149
646,117,149
646,118,149
646,119,149
646,120,149
646,121,149
646,122,149
646,123,149
646,124,149
646,125,149
646,126,149
646,127,149
646,128,149
646,129,149
646,130,149
646,131,149
646,132,149
646,133,149
646,134,149
646,135,149
646,136,149
646,137,149
646,138,149
646,139,149
646,140,149
646,141,149
646,142,149
646,143,149
646,144,149
646,145,149
646,146,149
646,147,149
646,148,149
646,149,149
646,150,149
646,151,149
646,152,149
646,153,149
646,154,149
646,155,149
646,156,149
646,157,149
646,158,149
646,159,149
646,160,149
646,161,149
646,162,149
646,163,149
646,164,149
646,165,149
646,166,149
646,167,149
646,168,149
646,169,149
646,170,149
646,171,149
646,172,149
638,173,149
626,174,149
626,175,149
626,176,149
626,177,149
626,178,149
626,179,149
626,180,149
626,181,149
626,182,149
626,183,149
626,184,149
626,185,149
626,186,149
626,187,149
626,188,149
634,189,149
634,190,149
634,191,149
634,192,149
634,193,149
634,194,149
634,195,149
634,196,149
648,197,149
648,198,149
648,199,149
648,200,149
648,201,149
648,202,149
648,203,149
648,204,149
648,205,149
648,206,149
646,207,149
646,208,149
646,209,149
646,210,149
646,211,149
646,212,149
646,213,149
646,214,149
646,215,149
646,216,149
646,217,149
646,218,149
646,219,149
646,220,149
646,221,149
646,222,149
646,223,149
646,224,149
646,225,149
646,226,149
646,227,149
646,228,149
646,229,149
646,230,149
646,231,149
646,232,149
646,233,149
646,234,149
646,235,149
646,236,149
646,237,149
646,238,149
646,239,149
646,240,149
646,241,149
646,242,149
646,243,149
646,244,149
646,245,149
646,246,149
646,247,149
646,248,149
646,249,149
646,250,149
646,251,149
646,252,149
646,253,149
646,254,149
626,255,149
626,256,149
626,257,149
626,258,149
626,259,149
626,260,149
626,261,149
626,262,149
626,263,149
626,264,149
